,id,username,tweet_text,retweets,location,created_at,sentiment,subjectivity,created_at_est,created_date
1,1323534663453913093,realDonaldTrump,"VOTE! VOTE! VOTE!
",93398,"Washington, DC",2020-11-03 07:57:08,0.0,0.0,2020-11-03 02:57:08-05:00,2020-11-03
2,1323527920200003584,realDonaldTrump,Thank you Matt! ,12483,"Washington, DC",2020-11-03 07:30:20,0.0,0.0,2020-11-03 02:30:20-05:00,2020-11-03
3,1323527405680562177,realDonaldTrump,Thank you Paris. Keep up the GREAT work! ,11747,"Washington, DC",2020-11-03 07:28:18,1.0,0.75,2020-11-03 02:28:18-05:00,2020-11-03
4,1323520654306615297,realDonaldTrump,"To all of our supporters: thank you from the bottom of my heart. You have been there from the beginning, and I will never let you down. Your hopes are my hopes, your dreams are my dreams, and your future is what I am fighting for every single day!  ",46317,"Washington, DC",2020-11-03 07:01:28,-0.08161375661375662,0.20939153439153438,2020-11-03 02:01:28-05:00,2020-11-03
5,1323520310713352192,realDonaldTrump,Thank you Brad! ,5915,"Washington, DC",2020-11-03 07:00:06,0.0,0.0,2020-11-03 02:00:06-05:00,2020-11-03
9,1323513166672891904,realDonaldTrump,"THANK YOU MICHIGAN!
",10741,"Washington, DC",2020-11-03 06:31:43,0.0,0.0,2020-11-03 01:31:43-05:00,2020-11-03
10,1323481349030879232,realDonaldTrump,"Our prayers are with the people of Vienna after yet another vile act of terrorism in Europe. These evil attacks against innocent people must stop. The U.S. stands with Austria, France, and all of Europe in the fight against terrorists, including radical Islamic terrorists.",35329,"Washington, DC",2020-11-03 04:25:17,-0.25,0.85,2020-11-02 23:25:17-05:00,2020-11-02
11,1323475722032336896,realDonaldTrump,"Heading to GRAND RAPIDS, MICHIGAN after a great evening in KENOSHA, WISCONSIN! Get out and VOTE tomorrow, let’s MAKE AMERICA GREAT AGAIN! ",16831,"Washington, DC",2020-11-03 04:02:55,0.8333333333333334,0.8333333333333334,2020-11-02 23:02:55-05:00,2020-11-02
12,1323471421721464832,realDonaldTrump,"A vote for Sleepy Joe Biden is a vote to give control of government over to Globalists, Communists, Socialists, and Wealthy Liberal Hypocrites who want to silence, censor, cancel, and punish you. Get out and VOTE #MAGA tomorrow! ",15519,"Washington, DC",2020-11-03 03:45:50,0.625,1.0,2020-11-02 22:45:50-05:00,2020-11-02
13,1323470806240927745,realDonaldTrump,"Biden has vowed to ABOLISH the American oil and natural gas industries, and BAN fracking. As long as I am President, we will remain the number one producer of oil and natural gas on earth – and we will remain Energy Independent!  ",12324,"Washington, DC",2020-11-03 03:43:23,0.030000000000000006,0.265,2020-11-02 22:43:23-05:00,2020-11-02
14,1323469256667942913,realDonaldTrump,"A vote for me and the Republican Party is a vote for the American Dream! Over the next four years, we will make America into the Manufacturing Superpower of the World, and we will end our reliance on China once and for all.  ",16935,"Washington, DC",2020-11-03 03:37:14,0.0,0.0,2020-11-02 22:37:14-05:00,2020-11-02
15,1323468357312667649,realDonaldTrump,"I am asking you to go VOTE for your favorite president, we still have work to do! Let’s WIN, WIN, WIN! ",15323,"Washington, DC",2020-11-03 03:33:39,0.80625,0.5499999999999999,2020-11-02 22:33:39-05:00,2020-11-02
2,1323680963310866435,realDonaldTrump,"A parade for me in Nigeria, a great honor! ",35656,"Washington, DC",2020-11-03 17:38:29,0.375,0.4916666666666667,2020-11-03 12:38:29-05:00,2020-11-03
0,1323725991148167171,realDonaldTrump,"Get out &amp; VOTE! Under my Administration, our ECONOMY is growing at the fastest rate EVER at 33.1%. Next year will be the GREATEST ECONOMIC YEAR in American History!

Find your polling place below. ",7732,"Washington, DC",2020-11-03 20:37:24,0.3,0.3,2020-11-03 15:37:24-05:00,2020-11-03
0,1323765884268224514,realDonaldTrump,WE ARE LOOKING REALLY GOOD ALL OVER THE COUNTRY. THANK YOU!,45634,"Washington, DC",2020-11-03 23:15:55,0.875,0.6000000000000001,2020-11-03 18:15:55-05:00,2020-11-03
0,1323864823680126977,realDonaldTrump,"We are up BIG, but they are trying to STEAL the Election. We will never let them do it. Votes cannot be cast after the Polls are closed!",0,"Washington, DC",2020-11-04 05:49:04,-0.0625,0.1,2020-11-04 00:49:04-05:00,2020-11-04
1,1323864021167198209,realDonaldTrump,I will be making a statement tonight. A big WIN!,55679,"Washington, DC",2020-11-04 05:45:53,0.5,0.25,2020-11-04 00:45:53-05:00,2020-11-04
0,1324004491612618752,realDonaldTrump,"Last night I was leading, often solidly, in many key States, in almost all instances Democrat run &amp; controlled. Then, one by one, they started to magically disappear as surprise ballot dumps were counted. VERY STRANGE, and the “pollsters” got it completely &amp; historically wrong!",56,"Washington, DC",2020-11-04 15:04:04,0.058571428571428594,0.5802380952380952,2020-11-04 10:04:04-05:00,2020-11-04
0,1324012341458075648,realDonaldTrump,WHAT IS THIS ALL ABOUT? ,20405,"Washington, DC",2020-11-04 15:35:15,0.0,0.0,2020-11-04 10:35:15-05:00,2020-11-04
1,1324007806694023169,realDonaldTrump,How come every time they count Mail-In ballot dumps they are so devastating in their percentage and power of destruction?,43990,"Washington, DC",2020-11-04 15:17:14,-1.0,1.0,2020-11-04 10:17:14-05:00,2020-11-04
0,1324033983882166272,realDonaldTrump,"They are working hard to make up 500,000 vote advantage in Pennsylvania disappear — ASAP. Likewise, Michigan and others!",5608,"Washington, DC",2020-11-04 17:01:15,-0.36458333333333337,0.5416666666666666,2020-11-04 12:01:15-05:00,2020-11-04
0,1324061986779504642,realDonaldTrump,"We are winning Pennsylvania big, but the PA Secretary of State just announced that there are “Millions of ballots left to be counted.”",13816,"Washington, DC",2020-11-04 18:52:32,0.16666666666666666,0.2833333333333333,2020-11-04 13:52:32-05:00,2020-11-04
1,1324059767581671425,realDonaldTrump,"Wow! It looks like Michigan has now found the ballots necessary to keep a wonderful young man, John James, out of the U.S. Senate. What a terrible thing is happening!",22779,"Washington, DC",2020-11-04 18:43:43,0.04500000000000002,0.8800000000000001,2020-11-04 13:43:43-05:00,2020-11-04
0,1324108206801563650,realDonaldTrump,.....there was a large number of secretly dumped ballots as has been widely reported!,0,"Washington, DC",2020-11-04 21:56:11,-0.10357142857142858,0.5095238095238095,2020-11-04 16:56:11-05:00,2020-11-04
1,1324108200141082624,realDonaldTrump,"We have claimed, for Electoral Vote purposes, the Commonwealth of Pennsylvania (which won’t allow legal observers) the State of Georgia, and the State of North Carolina, each one of which has a BIG Trump lead. Additionally, we hereby claim the State of Michigan if, in fact,.....",25462,"Washington, DC",2020-11-04 21:56:10,0.1,0.15000000000000002,2020-11-04 16:56:10-05:00,2020-11-04
0,1324139647111409667,realDonaldTrump,"Detroit Absentee Ballot Counting Chaos, Blocked Windows and Observers  via @BreitbartNews",7386,"Washington, DC",2020-11-05 00:01:07,0.0,0.0,2020-11-04 19:01:07-05:00,2020-11-04
1,1324139387546984449,realDonaldTrump,Demands Arise for PA Attorney General to ‘Step Aside‘  via @BreitbartNews,5830,"Washington, DC",2020-11-05 00:00:05,0.05000000000000002,0.5,2020-11-04 19:00:05-05:00,2020-11-04
2,1324130551234727936,realDonaldTrump,"Our lawyers have asked for “meaningful access”, but what good does that do? The damage has already been done to the integrity of our system, and to the Presidential Election itself. This is what should be discussed!",35348,"Washington, DC",2020-11-04 23:24:59,0.6875,0.55,2020-11-04 18:24:59-05:00,2020-11-04
0,1324353932022480896,realDonaldTrump,STOP THE COUNT!,48652,"Washington, DC",2020-11-05 14:12:37,0.0,0.0,2020-11-05 09:12:37-05:00,2020-11-05
0,1324375607933833219,realDonaldTrump,"Jobless Claims Dip to 751,000, Lowest Since March  via @BreitbartNews",7949,"Washington, DC",2020-11-05 15:38:45,0.0,0.0,2020-11-05 10:38:45-05:00,2020-11-05
1,1324375334653988864,realDonaldTrump,Fmr NV AG Laxalt: ‘No Question‘ Trump Would Have Won Nevada ‘Convincingly‘ Without Mail-in Voting  via @BreitbartNews,9522,"Washington, DC",2020-11-05 15:37:40,0.5,1.0,2020-11-05 10:37:40-05:00,2020-11-05
2,1324368202139357186,realDonaldTrump,ANY VOTE THAT CAME IN AFTER ELECTION DAY WILL NOT BE COUNTED!,0,"Washington, DC",2020-11-05 15:09:19,0.0,0.0,2020-11-05 10:09:19-05:00,2020-11-05
0,1324386685858287616,realDonaldTrump,All of the recent Biden claimed States will be legally challenged by us for Voter Fraud and State Election Fraud. Plenty of proof - just check out the Media. WE WILL WIN! America First!,0,"Washington, DC",2020-11-05 16:22:46,0.378125,0.29583333333333334,2020-11-05 11:22:46-05:00,2020-11-05
1,1324382829535498244,realDonaldTrump,Big legal win in Pennsylvania!,37308,"Washington, DC",2020-11-05 16:07:27,0.39999999999999997,0.23333333333333336,2020-11-05 11:07:27-05:00,2020-11-05
0,1324401527663058944,realDonaldTrump,STOP THE FRAUD!,0,"Washington, DC",2020-11-05 17:21:45,0.0,0.0,2020-11-05 12:21:45-05:00,2020-11-05
0,1324493225579696129,realDonaldTrump,News Conference at 6:30 P.M.,23774,"Washington, DC",2020-11-05 23:26:07,0.0,0.0,2020-11-05 18:26:07-05:00,2020-11-05
0,1324613375213621248,realDonaldTrump,"Twitter is out of control, made possible through the government gift of Section 230!",16793,"Washington, DC",2020-11-06 07:23:33,0.0,1.0,2020-11-06 02:23:33-05:00,2020-11-06
0,1324730186798161925,realDonaldTrump,“Philadelpiha has got a rotten history on election integrity.” @Varneyco @FoxBusiness,24755,"Washington, DC",2020-11-06 15:07:43,0.0,0.0,2020-11-06 10:07:43-05:00,2020-11-06
0,1324752659996397575,realDonaldTrump,"With the attack by the Radical Left Dems on the Republican Senate, the Presidency becomes even more important!",18697,"Washington, DC",2020-11-06 16:37:01,0.3333333333333333,0.5,2020-11-06 11:37:01-05:00,2020-11-06
0,1324768077939118083,realDonaldTrump,Where are the missing military ballots in Georgia? What happened to them?,28814,"Washington, DC",2020-11-06 17:38:17,-0.15000000000000002,0.07500000000000001,2020-11-06 12:38:17-05:00,2020-11-06
0,1324846580147642369,realDonaldTrump,Joe Biden should not wrongfully claim the office of the President. I could make that claim also. Legal proceedings are just now beginning!,24936,"Washington, DC",2020-11-06 22:50:13,0.25,0.2,2020-11-06 17:50:13-05:00,2020-11-06
0,1324855496722026498,realDonaldTrump,"I had such a big lead in all of these states late into election night, only to see the leads miraculously disappear as the days went by. Perhaps these leads will return as our legal proceedings move forward!",55088,"Washington, DC",2020-11-06 23:25:39,-0.009999999999999998,0.4800000000000001,2020-11-06 18:25:39-05:00,2020-11-06
0,1324901123996741634,realDonaldTrump,“We need an explanation as to how these numbers have been running up for the last two or three days.” Matthew Whitaker. @EveningEdit,21999,"Washington, DC",2020-11-07 02:26:58,0.0,0.06666666666666667,2020-11-06 21:26:58-05:00,2020-11-06
0,1324927258679767042,realDonaldTrump,Incredibly stated Jim! ,23029,"Washington, DC",2020-11-07 04:10:49,1.0,0.9,2020-11-06 23:10:49-05:00,2020-11-06
0,1325067488695099397,realDonaldTrump,People were screaming STOP THE COUNT &amp; WE DEMAND TRANSPARENCY (As Legal Observers were refused admittance to count rooms)! ,5973,"Washington, DC",2020-11-07 13:28:02,0.25,0.2,2020-11-07 08:28:02-05:00,2020-11-07
1,1325065549559291910,realDonaldTrump,....Bad things took place during those hours where LEGAL TRANSPARENCY was viciously &amp; crudely not allowed. Tractors blocked doors &amp; windows were covered with thick cardboard so that observers could not see into the count rooms. BAD THINGS HAPPENED INSIDE. BIG CHANGES TOOK PLACE!,7441,"Washington, DC",2020-11-07 13:20:20,-0.24166666666666667,0.5736111111111112,2020-11-07 08:20:20-05:00,2020-11-07
2,1325065546342264834,realDonaldTrump,"....This would ALSO change the Election result in numerous States, including Pennsylvania, which everyone thought was easily won on Election Night, only to see a massive lead disappear, without anyone being allowed to OBSERVE, for long intervals of time, what the happened...",6843,"Washington, DC",2020-11-07 13:20:19,0.07666666666666667,0.7466666666666667,2020-11-07 08:20:19-05:00,2020-11-07
3,1325065540390559745,realDonaldTrump,"Tens of thousands of votes were illegally received after 8 P.M. on Tuesday, Election Day, totally and easily changing the results in Pennsylvania and certain other razor thin states. As a separate matter, hundreds of thousands of Votes were illegally not allowed to be OBSERVED...",13054,"Washington, DC",2020-11-07 13:20:18,-0.018197278911564623,0.6256802721088436,2020-11-07 08:20:18-05:00,2020-11-07
0,1325195021339987969,realDonaldTrump,"71,000,000 Legal Votes. The most EVER for a sitting President!",96604,"Washington, DC",2020-11-07 21:54:48,0.4125,0.35,2020-11-07 16:54:48-05:00,2020-11-07
0,1325432476215500800,realDonaldTrump,...and Detroit with a long series of election problems (to put it mildly).” @JonathanTurley,9687,"Washington, DC",2020-11-08 13:38:22,0.14166666666666666,0.45,2020-11-08 08:38:22-05:00,2020-11-08
0,1325442345396039680,realDonaldTrump,"....Where it mattered, they stole what they had to steal. @newtgingrich",16611,"Washington, DC",2020-11-08 14:17:35,0.0,0.0,2020-11-08 09:17:35-05:00,2020-11-08
1,1325442336957018112,realDonaldTrump,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",33943,"Washington, DC",2020-11-08 14:17:33,-0.01333333333333333,0.5566666666666666,2020-11-08 09:17:33-05:00,2020-11-08
0,1325511603157159942,realDonaldTrump,Since when does the Lamestream Media call who our next president will be? We have all learned a lot in the last two weeks!,23058,"Washington, DC",2020-11-08 18:52:47,0.0,0.03333333333333333,2020-11-08 13:52:47-05:00,2020-11-08
0,1325527391993786374,realDonaldTrump,Investigators Dispatched After Fulton County Discovers ‘Issue‘ with Ballot Reporting  via @BreitbartNews,13003,"Washington, DC",2020-11-08 19:55:32,0.0,0.0,2020-11-08 14:55:32-05:00,2020-11-08
0,1325778096151203843,realDonaldTrump,"STOCK MARKET UP BIG, VACCINE COMING SOON. REPORT 90% EFFECTIVE. SUCH GREAT NEWS!",23881,"Washington, DC",2020-11-09 12:31:44,0.4,0.5375,2020-11-09 07:31:44-05:00,2020-11-09
0,1325859407620689922,realDonaldTrump,...Chris will do a GREAT job! Mark Esper has been terminated. I would like to thank him for his service.,8250,"Washington, DC",2020-11-09 17:54:50,1.0,0.75,2020-11-09 12:54:50-05:00,2020-11-09
0,1325891490636320768,realDonaldTrump,Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! @Reince @SeanDuffyWI,11007,"Washington, DC",2020-11-09 20:02:19,0.33781249999999996,0.6400000000000001,2020-11-09 15:02:19-05:00,2020-11-09
1,1325889532840062976,realDonaldTrump,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp &amp; @AdamLaxalt are finding things that, when released, will be absolutely shocking!",21515,"Washington, DC",2020-11-09 19:54:33,-0.75,1.0,2020-11-09 14:54:33-05:00,2020-11-09
2,1325884977112883200,realDonaldTrump,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,40247,"Washington, DC",2020-11-09 19:36:26,0.24107142857142858,0.6023809523809524,2020-11-09 14:36:26-05:00,2020-11-09
0,1325896369534607360,realDonaldTrump,"Georgia will be a big presidential win, as it was the night of the Election!",36638,"Washington, DC",2020-11-09 20:21:43,0.5,0.25,2020-11-09 15:21:43-05:00,2020-11-09
3,1325962203346972678,realDonaldTrump,"The @US_FDA and the Democrats didn’t want to have me get a Vaccine WIN, prior to the election, so instead it came out five days later – As I’ve said all along!",24220,"Washington, DC",2020-11-10 00:43:19,0.26666666666666666,0.13333333333333333,2020-11-09 19:43:19-05:00,2020-11-09
4,1325961672343875585,realDonaldTrump,"If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the @US_FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!",21209,"Washington, DC",2020-11-10 00:41:12,0.41666666666666663,0.5,2020-11-09 19:41:12-05:00,2020-11-09
5,1325961445062938625,realDonaldTrump,"As I have long said, @Pfizer and the others would only announce a Vaccine after the Election, because they didn’t have the courage to do it before. Likewise, the @US_FDA should have announced it earlier, not for political purposes, but for saving lives!",22204,"Washington, DC",2020-11-10 00:40:18,-0.0125,0.5,2020-11-09 19:40:18-05:00,2020-11-09
6,1325961116359516160,realDonaldTrump,"...The worst polling ever, and then they’ll be back in four years to do it again. This is much more then voter and campaign finance suppression!",10399,"Washington, DC",2020-11-10 00:38:59,-0.125,0.5,2020-11-09 19:38:59-05:00,2020-11-09
